,State,District,Market,Variety,Commadity,Tons,Min_Price,Max_Price,Modal_Price,Arrival_Date,Year,Month,Date
9668,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,16.0,350.0,500.0,425.0,2003-03-31,2003,3,31
9728,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,41.4,400.0,500.0,450.0,2003-04-01,2003,4,1
9774,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,16.2,400.0,500.0,450.0,2003-04-02,2003,4,2
9826,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,9.0,250.0,350.0,275.0,2003-04-03,2003,4,3
9889,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,13.0,400.0,500.0,450.0,2003-04-04,2003,4,4
9951,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,11.1,250.0,400.0,325.0,2003-04-05,2003,4,5
10108,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,10.0,250.0,300.0,275.0,2003-04-08,2003,4,8
10176,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,10.7,400.0,500.0,450.0,2003-04-09,2003,4,9
10242,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,5.0,400.0,500.0,450.0,2003-04-10,2003,4,10
11196,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,9.0,600.0,700.0,650.0,2003-04-29,2003,4,29
11258,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,0.8,1250.0,1500.0,1375.0,2003-04-30,2003,4,30
11291,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,5.3,1000.0,1125.0,1060.0,2003-05-01,2003,5,1
11382,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,2.8,1000.0,1250.0,1125.0,2003-05-02,2003,5,2
11432,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,3.0,1000.0,1200.0,1100.0,2003-05-03,2003,5,3
11515,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,8.2,750.0,1000.0,875.0,2003-05-05,2003,5,5
11610,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,2.7,500.0,750.0,625.0,2003-05-06,2003,5,6
11680,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,2.0,1000.0,1100.0,1050.0,2003-05-07,2003,5,7
11764,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,5.3,700.0,850.0,775.0,2003-05-08,2003,5,8
11811,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,6.0,750.0,1050.0,900.0,2003-05-09,2003,5,9
11877,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,7.8,700.0,800.0,750.0,2003-05-10,2003,5,10
11953,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,3.6,800.0,1000.0,900.0,2003-05-12,2003,5,12
12014,Gujarat,Surendranagar,Vadhvan,Local,Vegetables,3.3,900.0,1000.0,950.0,2003-05-13,2003,5,13
